L12 騎樓,事實提取,台灣建築中的「騎樓」通常位於房子的哪個位置？,房子頂樓用來曬衣服的陽台,房子一樓向內縮並開放通行的地方,房子正後方用來存放雜物的倉庫,房子窗戶外面延伸出來的小遮雨棚,B,建築特徵事實認知。
L12 騎樓,理解推論,「騎樓」的設計反映了台灣什麼樣的天氣特色？,時常有猛烈的陽光與頻繁的陣雨,冬天時常會有大型的暴風雪侵襲,氣候極度乾燥且完全沒有任何降雨,氣溫終年保持在攝氏二十五度左右,A,建築與環境適應的邏輯理解。
L12 騎樓,推論整合,為什麼「騎樓」又被稱為「亭仔腳」？,因為這裡是用來亭放腳踏車的地方,這是一個充滿本土人情味的親切稱呼,因為這裡的柱子長得非常像人類的腳,因為只有腳力很好的人才能在這裡走,B,命名背後的文化與情感意義。
L12 騎樓,事實提取,騎樓在街道景觀中，提供行人什麼樣的功能？,一個可以不受風雨干擾的步行空間,一個可以隨意停車且不被警察罰款的地方,一個可以進行大型體育競賽的標準跑道,一個可以讓大家隨意堆放廢棄物的小巷,A,城市功能認知。
L12 騎樓,理解推論,作者描述在騎樓散步的經驗，展現了什麼？,對現代化高樓大廈設計的極度崇拜,對老街道那份人與空間連結的喜愛,對於騎樓空間被店家佔用感到非常憤怒,對未來建築將完全取消騎樓的無奈感,B,情感調性與場景聯繫。
L12 騎樓,推論整合,文中提到「騎樓是一條長長的走廊」，這象徵？,鄰居間彼此隔閡且完全不相往來,街道空間的延展與鄰里間的流動,政府對於土地開發有著嚴格的禁令,這是一條通往神祕地底世界的通道,B,空間意義推論。
L12 騎樓,事實提取,早期的騎樓除了通行，還常有哪些活動？,鄰居乘涼聊天、小孩在廊下玩耍,舉辦大規模的軍事閱兵與演習,作為飛機起降的臨時緊急預備跑道,全班同學一起在這裡練習長途馬拉松,A,社會功能事實。
L12 騎樓,推論整合,為什麼說騎樓是「溫暖的避風港」？,因為騎樓裡裝有非常昂貴的暖氣設備,它在惡劣天氣時提供人們庇護與安全,因為騎樓的地板顏色都是紅色的暖色,因為這裡住著很多熱愛幫助別人的英雄,B,隱喻意涵推論。
L12 騎樓,應用評論,維護騎樓的通暢對一個城市有什麼重要性？,讓警察在巡邏時可以跑得比壞人快,提升城市整潔度並友善行人通行,讓房子的價格可以賣得比現在高一倍,方便店家可以擺放更多吸引人的廣告,B,公共意識與應用判斷。
L12 騎樓,理解推論,這課想要透過介紹騎樓，引導我們發現？,發現台灣各地百貨公司的建築差異,發現日常生活中隱藏的建築智慧與美,發現如何設計出最華麗的歐式別墅,發現建築材料中哪一種最耐火災,B,主旨理解。
全冊整合,推論整合,從《唱反調》到《機智妙應》，這些課文共同強調？,凡事都要聽從權威者的絕對指示,運用多元思考與智慧解決生活難題,不管遇到什麼困難都先放棄再說,所有問題都可以在超市買到答案,B,跨課文主旨整合。
全冊整合,事實提取,在本冊課文中，哪一個對象被形容為「大飯店」？,充滿人情味的三峽老街建築,能孕育多樣生命的森林枯木,提供法老王安息的巨大金字塔,台北市中心最高級的購物中心,B,關鍵意象核對。
全冊整合,理解推論,「地球的眼淚」與「和魚一起游泳」都提到了？,對海洋生態的熱愛以及保育的責任,如何捕撈到數量最多的熱帶魚類,海洋資源是取之不盡且用之不完的,海洋中藏有許多神祕的外星文明,A,單元主題整合。
全冊整合,應用評論,綜合本學期所學，最能代表南一三下國語的核心是？,練習寫出全世界最難最複雜的文字,觀察生活、關懷環境與發揮智慧,學習如何快速購買昂貴的電子玩具,研究古代各國軍事武器的演進過程,B,學期總結性評價。
全冊整合,推論整合,課文中多次提到的「大自然」與人類的關係是？,人類應該完全主宰並破壞大自然,人類與自然應和諧共處且互相依存,大自然只是人類發展科技的實驗室,人類不應該對自然有任何好奇心,B,自然觀念整合。
