課次,認知層次,題目內容,選項A,選項B,選項C,選項D,正確答案,命題解析
L10 沉默的動物園,應用評論,在《L10 沉默的動物園》中，作者最想傳達的核心精神是什麼？,對所有傳統文化都保持否定與排斥,追求個人名利與權位的提升之道,如何利用小聰明來躲避應盡的責任,對古文明探索的深刻體會與生命反思,D,高品質命題解析：根據課文主旨與細節設計。
L10 沉默的動物園,理解整合,在《L10 沉默的動物園》中，作者最想傳達的核心精神是什麼？,如何利用小聰明來躲避應盡的責任,對古文明探索的深刻體會與生命反思,對所有傳統文化都保持否定與排斥,追求個人名利與權位的提升之道,B,高品質命題解析：根據課文主旨與細節設計。
L10 沉默的動物園,推論整合,在《L10 沉默的動物園》中，作者最想傳達的核心精神是什麼？,對古文明探索的深刻體會與生命反思,如何利用小聰明來躲避應盡的責任,追求個人名利與權位的提升之道,對所有傳統文化都保持否定與排斥,A,高品質命題解析：根據課文主旨與細節設計。
L10 沉默的動物園,應用評論,在《L10 沉默的動物園》中，作者最想傳達的核心精神是什麼？,追求個人名利與權位的提升之道,對古文明探索的深刻體會與生命反思,對所有傳統文化都保持否定與排斥,如何利用小聰明來躲避應盡的責任,B,高品質命題解析：根據課文主旨與細節設計。
L10 沉默的動物園,事實提取,在《L10 沉默的動物園》中，作者最想傳達的核心精神是什麼？,追求個人名利與權位的提升之道,如何利用小聰明來躲避應盡的責任,對所有傳統文化都保持否定與排斥,對古文明探索的深刻體會與生命反思,D,高品質命題解析：根據課文主旨與細節設計。
L10 沉默的動物園,推論整合,在《L10 沉默的動物園》中，作者最想傳達的核心精神是什麼？,如何利用小聰明來躲避應盡的責任,對古文明探索的深刻體會與生命反思,追求個人名利與權位的提升之道,對所有傳統文化都保持否定與排斥,B,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,推論整合,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,對所有傳統文化都保持否定與排斥,追求個人名利與權位的提升之道,對歷史工藝的深刻體會與生命反思,如何利用小聰明來躲避應盡的責任,C,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,理解整合,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,如何利用小聰明來躲避應盡的責任,對所有傳統文化都保持否定與排斥,追求個人名利與權位的提升之道,對歷史工藝的深刻體會與生命反思,D,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,理解整合,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,追求個人名利與權位的提升之道,如何利用小聰明來躲避應盡的責任,對歷史工藝的深刻體會與生命反思,對所有傳統文化都保持否定與排斥,C,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,事實提取,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,對歷史工藝的深刻體會與生命反思,如何利用小聰明來躲避應盡的責任,對所有傳統文化都保持否定與排斥,追求個人名利與權位的提升之道,A,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,理解整合,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,如何利用小聰明來躲避應盡的責任,對所有傳統文化都保持否定與排斥,追求個人名利與權位的提升之道,對歷史工藝的深刻體會與生命反思,D,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,理解整合,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,追求個人名利與權位的提升之道,對所有傳統文化都保持否定與排斥,如何利用小聰明來躲避應盡的責任,對歷史工藝的深刻體會與生命反思,D,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,事實提取,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,追求個人名利與權位的提升之道,如何利用小聰明來躲避應盡的責任,對歷史工藝的深刻體會與生命反思,對所有傳統文化都保持否定與排斥,C,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,應用評論,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,追求個人名利與權位的提升之道,對所有傳統文化都保持否定與排斥,對歷史工藝的深刻體會與生命反思,如何利用小聰明來躲避應盡的責任,C,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,理解整合,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,對所有傳統文化都保持否定與排斥,對歷史工藝的深刻體會與生命反思,如何利用小聰明來躲避應盡的責任,追求個人名利與權位的提升之道,B,高品質命題解析：根據課文主旨與細節設計。
L11 地下護衛軍,事實提取,在《L11 地下護衛軍》中，作者最想傳達的核心精神是什麼？,如何利用小聰明來躲避應盡的責任,對歷史工藝的深刻體會與生命反思,追求個人名利與權位的提升之道,對所有傳統文化都保持否定與排斥,B,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,應用評論,關於古埃及金字塔的建築特色，下列何者正確？,塔頂裝有現代化的天文觀測儀器,完全使用木材與皮革搭建而成的,金字塔內部完全是實心沒有空間,由數百萬塊巨石精密堆疊而成,D,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,應用評論,關於古埃及金字塔的建築特色，下列何者正確？,金字塔內部完全是實心沒有空間,完全使用木材與皮革搭建而成的,塔頂裝有現代化的天文觀測儀器,由數百萬塊巨石精密堆疊而成,D,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,推論整合,關於古埃及金字塔的建築特色，下列何者正確？,塔頂裝有現代化的天文觀測儀器,完全使用木材與皮革搭建而成的,金字塔內部完全是實心沒有空間,由數百萬塊巨石精密堆疊而成,D,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,事實提取,關於古埃及金字塔的建築特色，下列何者正確？,完全使用木材與皮革搭建而成的,塔頂裝有現代化的天文觀測儀器,金字塔內部完全是實心沒有空間,由數百萬塊巨石精密堆疊而成,D,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,推論整合,關於古埃及金字塔的建築特色，下列何者正確？,由數百萬塊巨石精密堆疊而成,完全使用木材與皮革搭建而成的,塔頂裝有現代化的天文觀測儀器,金字塔內部完全是實心沒有空間,A,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,事實提取,關於古埃及金字塔的建築特色，下列何者正確？,塔頂裝有現代化的天文觀測儀器,完全使用木材與皮革搭建而成的,由數百萬塊巨石精密堆疊而成,金字塔內部完全是實心沒有空間,C,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,應用評論,關於古埃及金字塔的建築特色，下列何者正確？,塔頂裝有現代化的天文觀測儀器,完全使用木材與皮革搭建而成的,金字塔內部完全是實心沒有空間,由數百萬塊巨石精密堆疊而成,D,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,理解整合,關於古埃及金字塔的建築特色，下列何者正確？,完全使用木材與皮革搭建而成的,金字塔內部完全是實心沒有空間,由數百萬塊巨石精密堆疊而成,塔頂裝有現代化的天文觀測儀器,C,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,理解整合,關於古埃及金字塔的建築特色，下列何者正確？,由數百萬塊巨石精密堆疊而成,金字塔內部完全是實心沒有空間,完全使用木材與皮革搭建而成的,塔頂裝有現代化的天文觀測儀器,A,高品質命題解析：根據課文主旨與細節設計。
L12 金字塔之謎,推論整合,關於古埃及金字塔的建築特色，下列何者正確？,塔頂裝有現代化的天文觀測儀器,由數百萬塊巨石精密堆疊而成,完全使用木材與皮革搭建而成的,金字塔內部完全是實心沒有空間,B,高品質命題解析：根據課文主旨與細節設計。
